pT_GeVc,pT_err_lo,pT_err_hi,sv0pt,stat_err,syst_err,total_err
0.64805168,0.030859604,0.032402584,-2.3774889,0.046075907,0.030007568,0.054985846
0.74811536,0.035624541,0.037405768,-1.5603673,0.040427867,0.026428314,0.048299775
0.84814608,0.040387909,0.042407304,-0.76655626,0.037164979,0.027332145,0.046133305
0.94816613,0.045150768,0.047408307,0.013882351,0.044266369,0.028622187,0.052713765
1.0928187,0.052038987,0.054640937,1.1656331,0.046432909,0.031053407,0.055859906
1.292897,0.061566523,0.064644849,2.637131,0.045711923,0.040816957,0.061282982
1.4932363,0.071106491,0.074661815,4.0096273,0.057478558,0.05225364,0.07768029
1.6931865,0.08062793,0.084659326,5.16008,0.077962302,0.063303534,0.10042638
1.8845866,0.089742218,0.094229329,6.3391004,0.098191701,0.07563386,0.1239439
2.0821126,0.099148217,0.10410563,7.3172421,0.13935368,0.084376703,0.16290757
2.2848694,0.10880331,0.11424347,8.1664982,0.11772966,0.097217506,0.1526811
2.6278303,0.12513477,0.13139151,9.3726616,0.15917796,0.11372723,0.19563105
3.3043532,0.15735015,0.16521766,10.772549,0.12098563,0.13990285,0.18496034
4.0958443,0.1950402,0.20479221,11.645811,0.18244499,0.17665057,0.25395196
5.0567274,0.24079654,0.25283637,11.585414,0.3832331,0.26675194,0.46693062
6.7525673,0.32155082,0.33762836,11.864097,0.46943295,0.41412211,0.62599075
8.811451,0.4195929,0.44057255,13.712177,0.85347867,0.66822726,1.0839527
